ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6yvk	unrelaxed_multimer_v3	3	4	0.7095659666508768	0.98128027	[0.8809061838050474, 0.8816381081930964]	[0.9743369, 0.9745537]	[96.59553719008265, 96.60867768595041]	0.9436948421874498	0.9301053	0.9328232312853904	1
6yvk	unrelaxed_multimer_v3	3	5	0.7089809732321581	0.98128027	[0.8844716195971863, 0.8849342117972282]	[0.9749655, 0.97502947]	[96.70214876033059, 96.7177685950413]	0.944330470360422	0.93053913	0.9332973990037252	1
6yvk	unrelaxed_multimer_v3	4	1	0.711218730417734	0.98128027	[0.8973323251353605, 0.8976349760013819]	[0.9765315, 0.97667545]	[97.16134453781511, 97.16159663865544]	0.9465269426704828	0.9390305	0.9405298109889306	1
6yvk	unrelaxed_multimer_v3	4	2	0.7112127030896309	0.98128027	[0.8950265089256129, 0.8951894780208725]	[0.9760801, 0.976094]	[97.09537190082645, 97.10181818181816]	0.9467954824568164	0.93784046	0.939631465876129	1
6yvk	unrelaxed_multimer_v3	4	3	0.7114529185622877	0.98128027	[0.8996504157991221, 0.9002632688614514]	[0.97696877, 0.9771124]	[97.22957983193277, 97.24487394957981]	0.947124077476114	0.93939364	0.9409397271468342	1
6yvk	unrelaxed_multimer_v3	4	4	0.711214042593333	0.98128027	[0.8989453795092427, 0.8985468924269545]	[0.97706103, 0.977096]	[97.18638655462189, 97.16369747899161]	0.9464759025254168	0.93734825	0.9391737777646048	1
6yvk	unrelaxed_multimer_v3	4	5	0.7111305522333011	0.98128027	[0.8954603310353694, 0.8965162725349001]	[0.9766155, 0.97673357]	[97.06297520661158, 97.10198347107438]	0.9461376666840756	0.9371717	0.9389648914300768	1
6yvk	unrelaxed_multimer_v3	5	1	0.7088937475230658	0.98128027	[0.8820622212808579, 0.8831252284194965]	[0.97486466, 0.97497827]	[96.59793388429753, 96.63702479338845]	0.9449572746388571	0.9317926	0.9344255484031132	1
6yvk	unrelaxed_multimer_v3	5	2	0.7088676697937438	0.98128027	[0.8802732506458153, 0.8830420311252647]	[0.97340155, 0.97400224]	[96.65840336134453, 96.72991596638654]	0.9457017147588428	0.9326096	0.9352280371198596	1
6yvk	unrelaxed_multimer_v3	5	3	0.7077708617608791	0.98128027	[0.8834175029900567, 0.8845531901208237]	[0.97472125, 0.97488874]	[96.67636363636363, 96.71363636363635]	0.9463817591668578	0.9336972	0.9362341307640356	1
6yvk	unrelaxed_multimer_v3	5	4	0.7078846224545284	0.98128027	[0.8857476291908515, 0.8857554525057134]	[0.97519743, 0.975197]	[96.73975206611568, 96.7401652892562]	0.9459638123146952	0.93288296	0.935499134151782	1
6yvk	unrelaxed_multimer_v3	5	5	0.7073415161597723	0.98128027	[0.878598760586497, 0.8808367616975004]	[0.973594, 0.97408545]	[96.56016528925619, 96.61719008264461]	0.9453598591961992	0.9320586	0.9347188300545719	1
6z01	unrelaxed_multimer_v3	1	1	0.2298579660288277	0.77766077	[0.009228016358269716, 0.009226684556791322]	[0.10336166, 0.10354667]	[76.82415094339623, 76.64584905660377]	0.5193177834865265	0.14195342	0.2174262955927215	1
6z01	unrelaxed_multimer_v3	1	2	0.5160136449277867	0.90043139	[0.009473537769684282, 0.009489784680659603]	[0.1055244, 0.105432756]	[82.464, 82.99940000000001]	0.5170469511673963	0.13962212	0.2151070878729446	1
6z01	unrelaxed_multimer_v3	1	3	0.2011769170428791	0.75941223	[0.009218545677726283, 0.009215466952469307]	[0.103709154, 0.10380503]	[76.27510204081632, 76.10979591836735]	0.5187765606708653	0.1409294	0.2164988328708674	1
6z01	unrelaxed_multimer_v3	1	4	0.5398208992506426	0.90952562	[0.009454134603799656, 0.009425657706711641]	[0.10495011, 0.10497459]	[82.35666666666668, 81.51343137254902]	0.5177835378063593	0.14093147	0.216301885307091	1
