ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
7atr	unrelaxed_multimer_v3	5	5	0.067737291082991	0.63555449	[0.09297432421937335, 0.010356134260274766]	[0.5800827, 0.34517977]	[85.34875, 32.245000000000005]	0.8256987323576898	0.5870517	0.6347810981713671	1
7b56	unrelaxed_multimer_v3	1	1	0.3581663619334234	0.84294946	[0.11692566089061827, 0.29880586252839547]	[0.734395, 0.80437773]	[72.16489795918368, 84.68489795918369]	0.8868864753080032	0.8674247	0.8713170762505655	1
7b56	unrelaxed_multimer_v3	1	2	0.3853025510349503	0.86040801	[0.08613986407511663, 0.2796872396230221]	[0.6982972, 0.78884184]	[69.24285714285715, 84.89489795918368]	0.8883130834042973	0.86847824	0.8724452075469484	1
7b56	unrelaxed_multimer_v3	1	3	0.3896003833410233	0.86040801	[0.11848094382889547, 0.3114826423463336]	[0.7329981, 0.80692565]	[72.57816326530613, 85.32632653061226]	0.8915700333394178	0.86701936	0.8719294909055545	1
7b56	unrelaxed_multimer_v3	1	4	0.3950133903720618	0.86040801	[0.08594769642637841, 0.284435346911877]	[0.69758445, 0.78757864]	[69.26510204081633, 85.4004081632653]	0.888697409377786	0.8707718	0.8743569421264118	1
7b56	unrelaxed_multimer_v3	1	5	0.3811759307286695	0.85453785	[0.09436124848854499, 0.2919983574686751]	[0.7091487, 0.797179]	[70.131875, 84.94395833333333]	0.8909333314804733	0.8708277	0.8748488061886729	1
7b56	unrelaxed_multimer_v3	2	1	0.2952197589905352	0.80223507	[0.5802519893114497, 0.639602367341616]	[0.91312826, 0.9323704]	[89.19903225806449, 89.97612903225803]	0.891068985997179	0.87381876	0.8772688013193088	1
7b56	unrelaxed_multimer_v3	2	2	0.3681053062041913	0.85453785	[0.0736415492944252, 0.2469655041332262]	[0.6723329, 0.7683198]	[68.38471698113209, 84.41094339622641]	0.8903639300283135	0.87417936	0.8774162766062487	1
7b56	unrelaxed_multimer_v3	2	3	0.3749407351648663	0.85453785	[0.08977833639497372, 0.2742015983945689]	[0.69246477, 0.7892472]	[70.73140000000001, 84.41959999999999]	0.8913420834755985	0.87207115	0.8759253342671413	1
7b56	unrelaxed_multimer_v3	2	4	0.3022855007497823	0.81190228	[0.36822698945828064, 0.5256528652110125]	[0.8580627, 0.89096236]	[83.7985294117647, 88.84382352941176]	0.8902961077370144	0.8720149	0.87567112569169	1
7b56	unrelaxed_multimer_v3	2	5	0.2864446103673496	0.80223507	[0.44033926378743227, 0.5499203246514864]	[0.87586045, 0.9051102]	[86.07333333333334, 88.59030303030305]	0.8890739900524551	0.8724311	0.8757596775423514	1
7b56	unrelaxed_multimer_v3	3	1	0.3164334843912671	0.82238224	[0.7175186774460658, 0.6800973754301046]	[0.9483854, 0.95144653]	[91.81999999999998, 89.9116129032258]	0.8884963021218677	0.86516535	0.8698315426814537	1
7b56	unrelaxed_multimer_v3	3	2	0.3329139983745372	0.83367787	[0.7173234561722408, 0.6798992573695157]	[0.94879454, 0.9515749]	[91.77193548387096, 89.89096774193551]	0.8905842110668367	0.86380935	0.8691643199355353	1
7b56	unrelaxed_multimer_v3	3	3	0.3158533250018666	0.82238224	[0.7192334272745953, 0.6802852835423258]	[0.94914114, 0.95183593]	[91.82129032258067, 89.88290322580646]	0.8893381350087499	0.865563	0.8703180073270674	1
